,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,Date,Hour,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
0,129068.81118613122,133613.5942287912,960986.0841640305,106582.0055480121,-0.18776055854087656,-0.04901005102647028,-0.6388111265161648,0.0225192268822538,-0.6961936846280307,0.35099922274914386,-7.97478495922583,-0.281518491889126,15.565494736010375,0.4446238236541288,-0.29176114344760984,-2.285198013740856,2018-10-22,2,-3.741570109398874,-4.1213106658839465,-17.145202015505216,-0.6544368940122917,-3.2821470343381898,-4.400780610724366,8.343845371222347,1.0342487555215842
1,115599.15879229527,118776.87583160898,899263.3569082117,104226.03272956784,0.09300562082297613,-0.020907052239965588,-0.5030894157638086,-0.18218667730725105,-0.7214609614535336,0.45935394501506926,-7.950643643510044,-0.45372547476698977,14.894007031936773,0.15009858281034777,-0.12467345098373962,-1.9213486040088341,2018-10-22,3,-2.420151566356922,-3.715460312863112,-8.366014197927369,-0.4228070067845268,-1.6265920363203779,-4.336093882945467,0.0052867594764931525,0.2899842704740946
2,111643.71990836138,106862.27997617678,900750.7819389534,103537.7950991635,0.05642859726669009,0.017188797066144137,-0.4032351481734509,-0.3232874605036011,-1.0099171038886015,0.3199040256235171,-8.275301611916634,-0.5714791103360267,14.691146007997078,-0.2997884195039294,-0.00859690415772387,-1.5695377466825382,2018-10-22,4,0.2122393818074084,-2.2693934467436683,8.695125462664,0.12455292864753169,1.295773880028844,-2.929773729936931,-17.317233625487397,-0.6160843513137086
3,117127.28234130862,102437.24301505457,961868.2602393925,105122.81381583007,-0.2545437772743328,0.05406679100727968,-0.38606482187668845,-0.33039410406434466,-1.14856088621598,0.23792273232056949,-9.589039355421018,-0.5109000750087624,16.731852556926587,-0.7814731297837705,-0.05087008159242988,-1.266999893751737,2018-10-22,5,0.319434069643418,-1.7988622966169876,9.384930794259885,0.08806185363542277,1.2675179695923449,-2.421245924009181,-19.614578748831924,-0.5432912108318414
4,113943.64520979399,93910.47144053447,968322.2836576246,104171.84044533854,-0.6564022022461248,0.08483906900139379,-0.42573861596004475,-0.31293125576817926,-1.3619490128658063,0.09684975737883474,-9.692549806283935,-0.4575038748037492,16.34145626869802,-0.9628767409618926,-0.31203238572058756,-1.1248859847979666,2018-10-22,6,0.4478364555209171,-1.5620040370097175,9.571259836081687,0.2635399751887295,1.2382223351419923,-2.0566241191581254,-20.345950460571792,-0.6082364898006132
5,120351.70482105922,91190.8139485846,1030781.3310591807,107020.30163718892,-1.387350593924037,0.11757228727541846,-0.3392579379674771,-0.2674360346094433,-1.6840874912585,-0.03261504652849055,-10.320348229691216,-0.35455145592244125,18.189655276431424,-1.1763138207043213,-0.8692368750434466,-0.9380142191271672,2018-10-22,7,-0.7406824757430331,-0.10108507110796483,1.2840501305091312,0.5188876136691255,-0.3263732911331516,-0.45347834646433605,-13.33100689209186,-0.801617166233533
6,108610.73138444415,93182.65892855712,977567.4445972904,107907.83126375625,-1.7484924690120964,0.1380820397518935,-0.09227062086734088,-0.3517183626462581,-2.1206676731082856,-0.21546252334268295,-10.120270405598736,-0.1579925784192394,18.559338880161032,-1.1878622600603557,-1.2645747585562552,-0.8669438118316226,2018-10-22,8,-2.0756462574429193,-0.10867654058612566,-7.968052942967996,0.36106155179695837,-1.5653890135948365,-0.3830144196415944,-3.9929805525101774,-0.7785018719951151
7,105407.0517674702,90408.3428563645,973411.3498698111,109619.94481012702,-1.8753178192000979,0.14145820014488258,0.12608157649732402,-0.3113091893013608,-2.390952979283613,-0.3777259972309496,-9.992653156447693,-0.09377968939432493,18.830920535634455,-1.5387574414284133,-1.268506298221749,0.18334040788415928,2018-10-22,9,-5.632476339230321,-0.05462338740832719,-37.513326908133266,-0.715621875293974,-4.975382979001923,-0.129664779623621,25.7714375089828,0.18445142010096424
8,68056.90174198584,92789.37053921717,707471.4908587309,102755.35376163964,-0.5673614812039669,0.05449232065634488,-0.10939740926882126,0.05101897689365431,-2.0459738398511713,-0.35627529986378625,-6.260025389218791,-0.2327033969844149,12.824371676581618,-1.8464847283366659,-0.3529033593009352,0.9843255368532291,2018-10-22,10,-6.304887206756339,-0.9315071662113527,-44.71543562706591,-1.3362608911191536,-4.771782527452791,-0.578705210110257,37.77865134737433,1.2639738802972142
9,60011.86387882456,83701.49125964276,651460.2133549366,99998.86639406912,-0.85908394679774,0.051368758212202666,-0.10250463346780656,0.3072247360857777,-1.58773952005915,-0.3298940394609414,-6.07624865282575,-0.2830440475031861,12.487700975169238,-1.9464607320094265,-0.8022602428433602,-0.004430532437078964,2018-10-22,11,-1.4108614251339755,-1.36415794889057,-9.351430457278878,-0.5839148886871084,-0.6308370936603627,-0.7784079315560534,2.3135932241875814,0.7106002107375066
